2021-12-10 21:51:45,"b'Like the mutating #coronavirus, #theft has evolved into new variants that unfortunately have victimized the unsuspe\xe2\x80\xa6 https://t.co/4BXjY2uFgO'"
2021-12-10 21:51:44,"b""@WinterbleShow just listening to your interview with @brent_jensen about #omicron.  If it's not as severe as other\xe2\x80\xa6 https://t.co/qnHl4HfPrw"""
2021-12-10 21:51:41,b'#coronavirus #dvla Union calls for investigation into death of Swansea DVLA employee - ITV News\xe2\x80\xa6 https://t.co/ko1scFwez6'
2021-12-10 21:51:39,"b'Like the mutating #coronavirus, #theft has evolved into new variants that unfortunately have victimized the unsuspe\xe2\x80\xa6 https://t.co/oRfQpx7y8g'"
2021-12-10 21:49:52,b'@TheMendozaWoman @mirrormirror007 perhaps #keith is waiting for the million #omicron new cases before he goes for\xe2\x80\xa6 https://t.co/8VHiKO5QV6'
2021-12-10 21:47:31,"b'Over 486,800 people have died of the novel #coronavirus in 547 cities checkered across all of #Iran\xe2\x80\x99s \n31 provinces\xe2\x80\xa6 https://t.co/p3Gvbm3ejz'"
2021-12-10 21:47:08,b'662 new cases in Cyprus \n\n[22:47 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-12-10 21:45:15,b'Those who are overweight or obese have a higher risk of severe illness and death from #COVID19.\n\nNew research shows\xe2\x80\xa6 https://t.co/5IP2zQuEy9'
2021-12-10 21:43:33,"b'Revelation  12:9  ""And the great dragon was cast out, that old serpent, called the Devil, and Satan, which deceivet\xe2\x80\xa6 https://t.co/28YtWXDmPM'"
2021-12-10 21:43:00,b'#ThingsToDo during the #CoronaVirus #Quarantine. Number 7.  Draw a hopscotch game outside your front window and wat\xe2\x80\xa6 https://t.co/T4Kh5rKLsO'
2021-12-10 21:41:42,b'29 new cases in Kuwait \n\n[22:41 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-12-10 21:41:23,b'#Corona Info for #India:\nNew Cases: 7870\nToday Recovery: 7678\nToday Deaths: 140\nTotal Active Cases: 102673\nTotal Ca\xe2\x80\xa6 https://t.co/IzaxU3C6gY'
